,ref,prd
1661,['17_Part 1.Chapter 1.1.(3)'],"['36_D.4.', '36_D.5.3.', '36_D.1.4.', '10_4.7.15', '12_2.3.2', '36_D.7.1.', '17_Part 12.Chapter 3.148.(1)', '36_D.4.5.', '36_D.5.5.', '36_D.4.8.']"
1662,['13_APP6.A6.2.5.(2)'],"['13_APP6.A6.5.2.(2)', '13_APP2.A2.1.2.(1)', '13_APP6.A6.7.2', '13_APP6.A6.6.5.(3)', '13_3.11.5', '13_3.12.5', '13_3.10.12', '13_APP6.A6.2.5.(2)', '9_6.8.5.Guidance.2.', '13_APP6.A6.2.5']"
1663,['13_6.2.2.Guidance.1.'],"['13_6.2.2.Guidance.1.', '13_9.2.2.Guidance', '27_3.1.7', '12_APP9.A9.1.1.Guidance.2.', '12_APP9.A9.4.Guidance', '13_APP6.A6.9.1.Guidance.4.', '12_APP9.A9.3.Guidance', '30_68)', '13_6.3.2.Guidance.1.', '13_6.2.2.Governing Body responsibilities.2.']"
1664,"['13_4.12.20', '4_3.10.2', '4_3.10.1', '13_1.1.1.Guidance.2.']","['9_6.Guidance', '18_1.2', '4_3.2.3', '9_6.1.1.(c).Guidance.(i)', '4_3.10.1', '4_3.10.2', '13_APP6.A6.7.2', '9_6.1.1.(c).Guidance.(ii)', '37_2.6', '13_APP6.A6.7.5']"
1665,['10_6.4.5'],"['7_7.2.5', '10_6.4.5', '21_24)', '33_35)', '10_2.13.3.Guidance.4.', '21_20)', '21_21)', '13_10.2.Guidance.5.', '12_APP2.A2.6.Guidance.8.', '6_APP 4.Guidance.Pricing_controls_by_the_Fund_Manager.8']"
1666,['18_3.2'],"['18_3.2', '18_3.1', '18_2.4.(b)', '4_3.2.3', '35_6.1', '9_6.1.1.(c).Guidance.(i)', '18_3.4.(c)', '18_1.2', '6_PART 4.9.1.Guidance.4', '18_3.4.(a)']"
1667,['19_130)'],"['19_106)', '33_108)', '34_98)', '1_9.3.2.(1)', '27_11.1.2', '20_1.1.', '33_2)', '20_3.4.', '20_3.2.', '34_67)']"
1668,['22_2.2.(5)'],"['22_2.2.(5)', '22_6.2.(7)', '22_5.6.(2)', '22_2.2.(14)', '22_2.2.(2)', '22_2.2.(1)', '22_2.2.(4)', '22_2.2.(7)', '22_5.6.(1)', '40_SECTION VIII.A.6.']"
1669,"['14_Part 2.4.(1)', '14_Part 2.6.(1)']","['14_Part 2.4.(1)', '14_Part 5.Chapter 2.30.(2)', '14_Part 6.Part 7.79.(2)', '14_Part 1.1.', '14_Part 6.Chapter 1.45.(1)', '14_Part 6.Part 7.81.(2)', '14_Part 6.Part 7.82.', '14_Part 6.Part 7.80.', '18_1.1', '21_1)']"
1670,"['34_23)', '34_95)']","['34_23)', '34_30)', '34_26)', '22_2.2.(8)', '22_2.2.(3)', '34_25)', '34_29)', '22_2.2.(14)', '34_59)', '34_13)']"
1671,"['1_4.3.1', '9_6.8.1.(b)', '7_8.10.1.(2).Guidance.3.']","['7_8.10.1.(2).Guidance.3.', '7_6.1.2.Guidance', '27_6.5.9', '19_101)', '7_8.8.2.(3)', '27_9.4.1', '23_3.3.3', '10_6.2.2', '11_4.1.1.Guidance.2.', '10_7.5.1']"
1672,['1_9.1.2.Guidance.3.'],"['1_9.1.2.Guidance.3.', '1_2.Guidance.8.', '1_7.Guidance.1.', '34_62)', '1_8.6.1', '1_10.2.1', '1_7.Guidance.4.', '1_9.1.1.(5)', '1_8.7.1.Guidance.3.', '1_8.1.2.Guidance.1.']"
1673,['3_2.6.3.Guidance.1'],"['6_PART 8.20.2.4', '6_PART 8.20.3.4', '3_2.6.3.Guidance.1', '1_2.Guidance.8.', '3_3.8.5', '40_6.2.', '34_102)', '19_171)', '6_PART 5.13.3.18.(1)', '3_3.8.13']"
1674,['22_2.1.(1)'],"['22_2.2.(2)', '22_2.1.(1)', '3_8.2.2', '22_2.3.(1)', '22_2.2.(14)', '22_2.3.(2)', '33_33)', '14_Part 5.Chapter 1.23.(3)', '22_1.(12)', '22_1.(16)']"
1675,['4_3.2.3'],"['4_3.2.3', '13_1.1.1.(2)', '18_3.2', '18_3.3', '13_1.1.1.Guidance.2.', '4_3.8.2', '4_3.8', '4_3.8.1', '37_3.4', '3_2.4.4.Undertakings.Guidance.4']"
1676,['13_APP4.A4.1.Guidance.74.'],"['13_APP4.A4.1.Guidance.74.', '13_APP4.A4.1.Guidance.72.', '13_4.4.3', '7_5.5.1.Guidance.5.', '3_3.5.5.(a)', '13_APP4.A4.1.Guidance.50.', '7_3.3.1.(2).Guidance.1.', '13_APP4.A4.1.Guidance.1.', '13_6.2.1.(3)', '13_5.2.1.(3)']"
1677,['19_143)'],"['19_159)', '19_18)', '19_157)', '19_158)', '19_139)', '19_142)', '19_45)', '19_161)', '19_156)', '19_56)']"
1678,"['1_4.1.1.(2)', '1_4.1.1.(5)', '1_4.3.1']","['10_2.7.2.Guidance', '1_4.1.1.(2)', '19_54)', '13_6.10.Guidance', '10_2.8.10.Guidance', '13_APP4.A4.2.1.Guidance.1.', '3_6.5.3', '19_55)', '1_10.3.2.Guidance.1.', '11_APP 4.25.']"
1679,['3_9.7.3.(a)'],"['3_9.7.3.(a)', '3_9.7.3.(c)', '3_9.15.1', '3_9.12.5', '3_9.9.5.(c)', '3_9.8.6', '3_9.12.1', '3_9.9.9', '3_9.5.7.Guidance.1', '3_9.13']"
1680,['11_12.3.1'],"['11_12.3.1', '11_11.3.1', '31_34)', '30_33)', '30_131)', '11_11.11.2', '11_12.14.2', '34_24)', '27_2.5.4', '30_68)']"
1681,['14_Part 6.Chapter 2.55.(6)'],"['14_Part 6.Chapter 2.55.(9)', '14_Part 6.Chapter 2.55.(11)', '14_Part 6.Chapter 2.55.(14)', '14_Part 6.Chapter 2.55.(2)', '14_Part 6.Chapter 2.55.(13)', '14_Part 6.Chapter 2.55.(1)', '14_Part 6.Chapter 2.55.(10)', '14_Part 6.Chapter 2.55.(3)', '14_Part 6.Chapter 2.55.(6)', '14_Schedule.Part 1']"
1682,['11_12.2.3'],"['7_APP2.A2.1.1', '11_12.2.1.Guidance', '11_12.2.4', '31_88)', '21_28)', '31_30)', '11_12.2.3', '31_93)', '31_31)', '11_12.2.1']"
1683,['28_120)'],"['31_99)', '30_140)', '28_185)', '11_12.2.1.Guidance', '11_11.2.1.Guidance', '11_12.2.4', '28_117)', '28_188)', '28_116)', '28_171)']"
1684,['9_5.1.1.Guidance.(ii)'],"['13_1.1.1.Guidance.4.', '39_2.6', '3_9.14.5', '13_1.3.Guidance.2.', '7_APP2.A2.1.1.Guidance.1.', '13_3.Guidance.3.', '13_1.1.1.Guidance.6.', '13_APP6.A6.9.1.Guidance.1.', '13_1', '10_3.3.14']"
1685,"['13_10.2.Guidance.2.', '13_APP4.A4.1.Guidance.9.']","['13_10.2.Guidance.2.', '13_10.2.Guidance.4.', '13_10.5.Guidance.1.', '13_10.3.2.(2)', '13_10.2.Guidance.3.', '13_7.3.1.Guidance.2.', '13_APP11.A11.2.Guidance.2.', '13_APP11.A11.1.Guidance.10.', '13_APP11.A11.1.Guidance.1.', '13_APP10.A10.4.2']"
1686,['39_6.5'],"['39_3.8', '39_5.5', '39_5.4', '39_4.4', '39_3.7', '39_6.5', '39_6.1', '39_6.3', '6_PART 8.20.4.9.Guidance.1', '3_3.8.24.Guidance.1']"
1687,['17_Part 6.Chapter 2.74.(2)'],"['14_Part 5.Chapter 1.22.(2)', '17_Part 6.Chapter 2.74.(2)', '14_Part 6.Chapter 2.57.(2)', '14_Part 4.18.19.(4)', '17_Schedule 2.10.(1)', '17_Part 20.241.(5)', '14_Part 5.Chapter 1.22.(4)', '14_Part 6.Chapter 3.62.(3)', '17_Part 12.Chapter 1.127.(4)', '14_Part 4.18.19.(9)']"
1688,['3_21.3.5.Guidance.2.'],"['3_21.3.5.Guidance.2.', '7_5.2.14', '3_22.7.6', '3_21.3.5.Guidance.1.', '4_3.20.2.Guidance', '13_1.3.6', '3_22.7.4', '17_Schedule 1.Part 2.Chapter 2.19.', '17_Schedule 1.Part 2.Chapter 9.54.', '3_22.7']"
1689,['1_4.5.6'],"['1_4.5.6', '7_8.1.4', '1_9.1.2.Guidance.4.', '37_4.3', '19_113)', '11_5.2.8', '3_6.2.3', '3_2.7.4', '1_9.2.2.Guidance.2.', '1_6.1.3']"
1690,"['7_4.3.1.(1)', '7_5.2.3', '7_5.2.7']","['1_3.1.1', '27_6.1.4', '27_4.4.3', '1_11.2.1.(5)', '7_4.3.1.(1)', '14_Part 5.Chapter 1.22.(3)', '7_3.3.27', '24_3.18', '7_2.1.3.Guidance.1', '7_9.5.1.(1).Guidance.2.']"
1691,"['33_106)', '33_107)']","['33_106)', '33_105)', '19_99)', '33_107)', '34_81)', '19_100)', '33_81)', '33_62)', '34_82)', '34_68)']"
1692,['13_11.2.2'],"['13_11.2.2', '13_APP6.A6.9.1.Guidance.2.', '6_PART 5.15.1.2.(4)', '13_APP4.A4.3.23.Guidance', '28_189)', '6_PART 5.13.5.1.(1)', '3_9.9', '9_6.8.1.(a)', '7_APP1.A1.2.Guidance.9.', '13_4.8.4']"
1693,['1_6.1.3.Guidance.6.'],"['1_6.1.3.Guidance.6.', '19_115)', '34_7)', '33_16)', '33_15)', '34_100)', '33_40)', '33_35)', '10_2.8.10.Guidance', '1_9.1.2.Guidance.4.']"
1694,['34_58)'],"['34_62)', '34_59)', '34_61)', '19_45)', '34_24)', '34_22)', '34_80)', '34_31)', '34_82)', '19_40)']"
1695,['11_4.10.1.(4)'],"['11_4.10.1.(4)', '11_1.2.Guidance.3.', '11_4.10.1.(1)', '11_4.10.1.(3)', '11_4.1.1', '17_Part 6.Chapter 1.62.(5)', '11_4.6.1.(1)', '11_4.5.1.(3)', '25_Disclaimer', '11_4.12.1.(2)']"
1696,['13_4.13.7'],"['13_4.13.7', '13_APP4.A4.12.14', '13_4.9.17', '13_APP4.A4.11.26', '13_APP4.A4.3.13', '13_4.9.20', '13_4.9.19', '13_4.9.16', '13_4.15.12', '13_APP4.A4.3.28']"
1697,"['30_65)', '30_66)']","['11_11.7.6', '30_64)', '30_58)', '30_55)', '30_56)', '11_11.7.3', '30_66)', '30_62)', '11_11.7.4', '11_11.7.2']"
1698,['13_3.2.2'],"['13_3.Guidance.1.', '13_APP10.A10.2.1.Guidance.Guidance.High Quality Liquid Assets (HQLA)', '13_3.2.4', '3_5.8', '19_46)', '7_3.3.42.(3).Guidance.2.', '13_APP10.A10.2.3', '13_3.16.3', '19_47)', '19_104)']"
1699,"['6_PART 5.13A.2.1', '32_1.4']","['32_4.1', '39_3.15', '39_3.8', '32_3.2', '32_1.4', '6_PART 8.20.3.10', '6_PART 8.20.3.3.Guidance.5', '6_PART 8.20.4.5', '6_PART 2.4.1.9.Guidance.2', '6_PART 5.13A.7.1']"
1700,['9_3.3.1.Guidance.(e)'],"['9_3.3.1.Guidance.(e)', '9_3.3.1.Guidance.(d)', '9_3.4.1', '9_3.3.1.Guidance.(c)', '9_3.5.1', '9_6.1.4', '9_3.5.7', '9_6.2.6.(a)', '9_7.3.1', '9_3.5.2']"
1701,['1_8.3.3.(2)'],"['1_8.3.3.(3)', '1_8.3.3.(2)', '1_8.3.6.(2)', '7_3.3.42.(1)', '7_3.3.2.(1)', '7_3.3.42.(3).Guidance.4.', '40_SECTION VIII.D.6.', '1_3.2.1', '17_Part 10.105.(2)', '17_Part 20.237.(2)']"
1702,['13_4.8.3'],"['19_113)', '34_34)', '13_4.10.Guidance', '20_3.1.', '28_117)', '33_30)', '19_45)', '37_4.3', '13_4.8.3', '27_8.4.4']"
1703,['11_8.1.2.(3)'],"['11_8.1.2.(3)', '3_19.8.1', '15_Part 3.7.(3)', '16_Part 3.7.(3)', '7_7.2.12', '13_APP4.A4.1.Guidance.68.', '11_2.3.15.(4)', '6_PART 5.12.10.1.(2)', '15_Part 3.7.(2)', '16_Part 3.7.(2)']"
1704,['13_4.13.9.Guidance.2.'],"['13_4.13.9.Guidance.2.', '13_4.13.9.(2)', '9_5.4.7.(d).Guidance.(xiv)', '13_APP4.A4.1.Guidance.64.', '9_5.4.7.(d).Guidance.(xii)', '11_4.10.1.(1)', '6_PART 5.11.1.6', '14_Part 6.Chapter 3.60.(1)', '13_APP4.A4.1.Guidance.7.', '13_APP4.A4.6.10']"
1705,['13_10.Introduction.Guidance.1.'],"['13_10.Introduction.Guidance.1.', '13_APP11.A11.3.Guidance.5.', '13_10.2.Guidance.4.', '27_3.2.16', '13_APP11.A11.3.Guidance.13.', '27_3.2.19', '13_4.14.21', '27_3.2.15', '27_3.2.5', '13_APP6.A6.9.1.Guidance.1.']"
1706,['11_2.3.6.(1)'],"['11_2.3.6.(1)', '11_2.3.4.(2)', '11_2.4.2.Guidance.2.', '11_2.7.7', '11_2.3.6.Guidance', '11_5.1.2.(1)', '11_9.3.15', '11_2.3.4.(1)', '11_2.3.2.Guidance.2.', '11_2.1.1.Guidance.5.']"
1707,"['10_2.9.2', '1_4.3.1']","['1_4.3.1', '1_6.2.1', '1_8.1.2.Guidance.1.', '1_13.1.1', '1_2.Guidance.8.', '1_4.4.1', '1_12.3.1', '34_62)', '1_8.1.1.(1)', '1_8.6.1']"
1708,"['19_170)', '29_3.7']","['29_3.7', '33_14)', '19_10)', '29_5.1', '17_Part 13.151.(1)', '33_91)', '29_4.4', '29_5.2', '19_138)', '17_Part 13.163.(1)']"
1709,"['11_1.1.3.(2)', '11_1.2.Guidance.4.']","['11_1.2.Guidance.4.', '17_Part 6.Chapter 2.83.(2)', '11_5.2.3.(1)', '34_98)', '19_106)', '17_Part 6.Chapter 2.83.(1)', '28_117)', '11_5.2.1', '33_39)', '11_5.2.1.Guidance']"
1710,"['13_9.2.6', '13_9.3.7.(1)']","['13_9.2.6', '13_APP4.A4.3.23.Guidance', '13_9.2.1.Guidance.2.', '13_9.2.5.(1)', '13_APP2.A2.5.Guidance.5.', '12_APP2.A2.11.Guidance.2.', '13_APP2.A2.1.6', '13_9.2.2.Guidance', '13_6.5.Guidance.3.', '3_16.4.1']"
1711,['19_166).a)'],"['19_166).a)', '19_166).e)', '19_10)', '19_165)', '19_166).b)', '33_118)', '33_14)', '19_166).d)', '29_5.1', '19_166).c)']"
1712,['13_APP5.A5.4.3'],"['13_APP5.A5.4.3', '13_APP5.A5.4.2', '13_APP5.A5.4.1', '13_APP5.A5.2.1.(2)', '13_APP5.A5.3.1', '13_APP2.A2.1.12.(2)', '13_4.11.7', '13_3.5.1', '13_APP6.A6.6.9.Guidance.1.', '13_APP6.A6.9.2.Guidance.2.']"
1713,['17_Part 13.165.(14)'],"['17_Part 13.165.(14)', '17_Part 13.165.(12)', '17_Part 13.165.(13)', '17_Part 13.165.(8)', '17_Part 12.Chapter 1.134._5', '17_Part 12.Chapter 1.135.(5)', '17_Part 12.Chapter 1.135.(1)', '17_Part 16.199.(2)', '14_Part 6.Chapter 1.42.(8)', '14_Part 5.Chapter 1.23.(2)']"
1714,['12_APP2.A2.13.Guidance.2.'],"['12_APP2.A2.13.Guidance.2.', '12_2.3.1', '13_APP6.A6.8.15.Guidance', '13_5.10.2.Guidance.1.', '12_APP2.A2.13.Guidance.4.', '12_APP2.A2.1.Guidance.3.', '12_APP2.A2.8.Guidance.3.', '13_5.10.2', '13_APP6.A6.8.15.(1)', '13_APP6.A6.8.10']"
1715,"['7_APP2.A2.1.1.Guidance.2.', '7_APP2.A2.1.2']","['7_APP2.A2.1.1.Guidance.2.', '7_APP2.A2.1.2', '7_APP2.A2.1.3.Guidance', '7_APP2.A2.1.2.Guidance', '7_APP2.A2.1.1', '7_APP2', '10_4.6.4', '24_3.19', '23_2.3.1', '17_Part 12.Chapter 3.146.(4)']"
1716,['12_6.6.13.Guidance'],"['17_Schedule 1.Part 3 .91.', '7_8.8.11.Guidance', '14_Part 4.18.(5)', '11_2.4.1', '11_4.7.1.Guidance.2.', '11_4.6.1.Guidance', '11_3.3.2.Guidance.1.', '7_8.5.1', '12_8.1.2.Guidance', '13_8.1.3.Guidance.1.']"
1717,['19_92)'],"['19_92)', '19_28)', '19_16)', '19_29)', '19_45)', '19_166).b)', '19_91)', '19_89)', '19_90)', '19_24)']"
1718,['7_8.8.4.(2).Guidance.1.'],"['7_8.8.4.(2).Guidance.1.', '7_8.8.13.(1)', '7_8.8.1.(1)', '12_APP8.A8.2.2', '7_8.8.12.Guidance.2.', '3_3.8.1', '3_17.8.1', '7_8.8.2.(3)', '7_8.2.6', '7_8.8.14.(1)']"
1719,['34_93)'],"['19_45)', '33_62)', '33_67)', '19_20)', '33_64)', '33_12)', '19_99)', '33_72)', '19_97)', '19_106)']"
1720,['19_28)'],"['33_9)', '29_2.3', '33_5)', '33_13)', '19_4)', '19_11)', '33_1)', '19_45)', '4_3.17.2.Guidance.2.', '19_43)']"
1721,['17_Part 20.243.(1)'],"['14_Part 5.Chapter 1.25.', '14_Part 6.Chapter 6.78.(3)', '17_Part 17.213.(4)', '27_2.5.3', '23_4.4.2', '27_11.3.2', '17_Part 17.211.(3)', '17_Part 21.250.(3)', '17_Part 2.Chapter 2.13.(4)', '14_Part 5.Chapter 2.28.(2)']"
1722,['14_Part 5.Chapter 4.35.(4)'],"['14_Part 5.Chapter 1.25.', '14_Part 5.Chapter 4.35.(4)', '14_Part 6.Chapter 2.49.(1)', '14_Part 6.Chapter 3.58.(1)', '14_Part 5.Chapter 1.26.(4)', '14_Part 5.Chapter 1.26.(2)', '14_Part 6.Chapter 4.65.(5)', '14_Part 3.Chapter 3.13.(2)', '14_Part 3.Chapter 2.10.(2)', '14_Part 3.Chapter 3.14.(2)']"
1723,"['33_28)', '33_58)']","['33_132)', '33_131)', '33_88)', '33_14)', '33_136)', '19_10)', '33_68)', '33_91)', '33_55)', '29_5.1']"
1724,['19_104)'],"['19_149)', '19_151)', '19_153)', '19_105)', '34_50)', '19_18)', '19_17)', '19_23)', '19_133)', '7_6.6.7']"
1725,['24_3.14'],"['24_3.14', '24_3.13', '24_3.11', '24_3.12', '10_2.9.1', '19_45)', '30_18)', '1_6.1.3.Guidance.3.', '1_8.3.2.Guidance on CDD.10.', '34_26)']"
1726,['14_Part 5.Chapter 2.27.(7)'],"['14_Schedule.Part 4', '14_Part 5.Chapter 1.22.(4)', '14_Part 5.Chapter 1.24.(3)', '14_Part 3.Chapter 2.10.(6)', '14_Part 5.Chapter 2.27.(4)', '14_Part 3.Chapter 2.11.(5)', '10_3.3.3', '14_Part 6.Chapter 6.78.(2)', '13_APP11.A11.2.Guidance.7.', '14_Part 6.Chapter 4.64.(3)']"
1727,['9_5.3.1'],"['9_5.3.1', '9_5.4.4.Guidance.(ii)', '9_5.4.4.Guidance.(iii)', '9_5.2.4', '9_5.4.3.(b)', '9_5.4.4.Guidance.(i)', '9_5.2.2', '9_2.4.1.Guidance.(ix)', '18_2.4.(a)', '9_5.4.4.Guidance.(iv)']"
1728,['1_5.1.1.Guidance.4.'],"['1_2.Guidance.8.', '1_7.Guidance.4.', '1_7.Guidance.2.', '1_8.6.1', '1_11.2.1.(3)', '1_8.3.2.Guidance on CDD.9.', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_11.1.1.Guidance.3.', '13_6.3.2.Guidance.1.', '13_6.2.2.Guidance.1.']"
1729,"['19_54)', '19_55)']","['19_52)', '13_APP4.A4.1.Guidance.34.', '19_55)', '19_50)', '19_53)', '13_6.6.1.Guidance.2.', '12_APP2.A2.8.Guidance.2.', '19_54)', '19_45)', '37_4.5.d.']"
1730,['17_Schedule 1.Part 2.Chapter 18.74.(2)'],"['17_Schedule 1.Part 2.Chapter 18.74.(2)', '17_Schedule 2.25.', '17_Schedule 1.Part 2.Chapter 18.74.(4)', '17_Schedule 1.Part 2.Chapter 18.74.(3)', '17_Schedule 1.Part 2.Chapter 18.77.(2)', '17_Schedule 1.Part 2.Chapter 2.21.', '17_Schedule 1.Part 2.Chapter 2.25.', '17_Schedule 1.Part 2.Chapter 18.76.(4)', '17_Schedule 1.Part 2.Chapter 18.81.(1)', '17_Schedule 1.Part 2.Chapter 18.78.(5)']"
1731,['17_Part 12.Chapter 3.147.(1)'],"['17_Part 12.Chapter 3.147.(1)', '17_Part 12.Chapter 3.148.(3)', '17_Part 12.Chapter 3.147.(3)', '17_Part 12.Chapter 3.141.(1)', '17_Part 12.Chapter 3.141.(3)', '17_Part 12.Chapter 3.142.(2)', '17_Part 12.Chapter 3.147.(4)', '17_Part 12.Chapter 3.148.(1)', '17_Part 12.Chapter 3.146.(2)', '13_APP4.A4.3.2']"
1732,['3_5.3.1'],"['3_5.3.1', '1_9.2.1.(2)', '3_5.9.1', '3_5.8', '3_5.11.1', '3_5.13.1', '6_PART 5.12.12.Guidance.4', '3_5.13.5', '3_5.13.3', '3_5.2.1']"
1733,['13_3.10.12'],"['13_3.10.12', '13_3.10.15', '13_3.11.5', '13_3.12.5', '13_3.10.16.(1)', '13_3.11.7', '13_3.11.8.(1)', '13_3.12.8.(1)', '13_3.12.7', '13_3.10.14']"
1734,['6_PART 5.13.4.4'],"['7_6.6.8', '6_PART 5.16.3.8', '6_PART 3.6.1.1.(3)', '6_PART 3.6.1.4', '6_PART 5.13.5.1.(1)', '6_PART 8.20.2.4.Guidance.3', '6_PART 5.15.2.Guidance.2', '6_PART 5.16.4.3', '9_6.4.1.(a)', '6_PART 8.20.3.3.Guidance.2']"
1735,['11_9.6.6'],"['5_9.3', '14_Part 5.Chapter 1.23.', '37_4.13.a.', '11_9.3.8.Guidance.2.', '6_PART 5.13.2.1.Guidance.3', '13_APP7.A7.1.1.Guidance.3.', '37_4.12.d.', '6_PART 5.16.3.9.Guidance.1', '7_2.3.1.Guidance.3.', '10_2.3.14']"
1736,['1_6.2.1.Guidance.2.'],"['1_6.2.1.Guidance.2.', '19_38)', '19_45)', '1_8.3.2.Guidance on CDD.8.', '1_6.1.3.Guidance.7.', '1_6.1.3.Guidance.6.', '1_6.1.1', '19_40)', '1_3.2.1', '19_41)']"
1737,"['19_40)', '19_41)', '19_42)']","['19_41)', '14_Part 3.Chapter 1.7.(5)', '14_Part 3.Chapter 2.10.(6)', '14_Part 3.Chapter 2.11.(5)', '14_Part 3.Chapter 1.8.(4)', '13_APP11.A11.1.Guidance.10.', '1_8.7.1.(1)', '28_185)', '1_8.2.1.(2)', '28_188)']"
1738,['17_Part 6.55.(2)'],"['17_Part 6.54.(4)', '17_Part 6.54.(2)', '17_Part 6.54.(5)', '17_Part 6.55.(5)', '17_Part 6.53.(2)', '28_185)', '17_Part 6.53.(1)', '28_188)', '28_149)', '28_107)']"
1739,['17_Part 19.Chapter 2.233.(3)'],"['17_Part 11.Chapter 1.106.(5)', '15_Part 4.8.(1)', '16_Part 4.8.(1)', '5_9.1.2', '13_11.2.3', '13_APP6.A6.7.5', '11_APP 4.2.', '6_PART 5.16.4.7.Comparative_table.Guidance.1', '3_20.14.1.Guidance.1', '6_PART 5.17.1.5.(1)']"
1740,['34_74)'],"['34_74)', '34_40)', '34_32)', '34_11)', '34_25)', '34_26)', '34_95)', '34_42)', '34_72)', '34_94)']"
1741,['1_14.2.3.Guidance.10.'],"['1_4.5.1', '1_4.5.4', '1_9.3.2.(1)', '1_14.2.3.Guidance.3.', '1_14.2.3.Guidance.7.', '1_14.2.3.Guidance.2.', '1_12.4.1', '1_14.4.1.Guidance.2.', '1_4.1.1.(2)', '1_11.2.1.Guidance.4.']"
1742,['14_Part 6.Part 7.85.(3)'],"['14_Part 6.Part 7.85.(3)', '14_Part 5.Chapter 2.30.(2)', '14_Part 6.Part 7.85.(1)', '14_Part 6.Part 7.84.(2)', '14_Part 5.Chapter 2.32.', '14_Part 6.Chapter 1.42.(2)', '6_PART 7.19.1.2', '17_Part 22.265.(4)', '17_Part 9.103.(1)', '15_Part 3.7.(2)']"
1743,['1_12.3.1'],"['1_12.3.1', '27_2.5.11', '1_2.Guidance.3.', '1_2.Guidance.17.', '1_9.3.1B.Guidance.2.', '1_13.1.1', '1_14.3.5.Guidance.1.', '17_Schedule 3.2.(2)', '1_14.2.3.Guidance.5.', '3_20.14.2.Guidance.1.']"
1744,"['19_135)', '19_137)', '19_139)']","['33_4)', '19_169)', '19_102)', '19_144)', '19_138)', '19_133)', '19_131)', '19_136)', '19_99)', '19_28)']"
1745,"['36_D.3.2.', '36_D.3.5.']","['36_D.3.', '36_D.3.1.', '36_D.3.5.', '36_D.3.3.', '36_D.3.4.', '36_D.3.2.', '36_C.16.', '36_D.4.', '36_D.1.', '36_D.2.']"
1746,['12_2.3.3'],"['12_2.3.3', '11_APP 4.25.', '7_APP1.A1.1.Guidance.6.', '7_3.3.2.(1)', '13_APP4.A4.1.Guidance.50.', '19_45)', '14_Schedule.Part 1', '12_APP2.A2.15.Guidance.3.', '12_10.1.4', '7_3.3.2.(3).Guidance.4.']"
1747,['34_95)'],"['34_95)', '24_3.10', '34_25)', '11_4.15.8', '24_3.17', '39_5.5', '39_5.4', '19_99)', '11_4.15.7', '3_3.8.8']"
1748,"['21_31)', '1_4.3.1']","['1_4.3.1', '21_31)', '19_118)', '10_2.5.2.Guidance', '6_PART 5.13.3.6.(1)', '27_3.5.1', '7_5.2.8', '27_2.5.2', '29_2.2', '19_113)']"
1749,['3_22.4.4'],"['3_22.4.4', '17_Part 2.Chapter 1.5A.(1)', '34_24)', '34_98)', '34_85)', '34_87)', '34_27)', '3_22.4.1', '3_22.6.1', '34_2)']"
1750,['1_8.3.6.Guidance on verification of the identity of Beneficial Owners.3.'],"['1_8.3.6.Guidance on verification of the identity of Beneficial Owners.3.', '1_8.3.2.Guidance on CDD.9.', '1_9.3.1B.Guidance.3.', '1_8.3.2.Guidance on CDD.8.', '1_4.5.1.Guidance', '1_8.4.1', '1_8.7.1.Guidance.1.', '1_9.1.1.(5)', '1_8.3.1.(1)', '1_8.4.1.Guidance.5.']"
1751,['3_17.4.1'],"['33_113)', '19_46)', '40_SECTION III.B.6.', '40_6.2.', '28_116)', '27_11.1.2', '23_1.2.2', '40_SECTION III.C.5.', '28_188)', '28_119)']"
1752,['19_28)'],"['19_28)', '33_98)', '19_45)', '34_7)', '19_47)', '19_121)', '33_101)', '19_8)', '19_29)', '33_10)']"
1753,['17_Part 2.Chapter 2.9.(3)'],"['17_Part 2.Chapter 2.9.(3)', '17_Part 12.Chapter 1.130.(4)', '3_8.6.6', '6_PART 5.17.1.2', '22_5.2.(3)', '6_PART 5.11.1.6.Guidance.1', '28_27)', '27_2.5.3', '13_APP5.A5.1', '28_188)']"
1754,['13_APP4.A4.3.22'],"['13_APP4.A4.3.22', '13_APP4.A4.3.21', '13_APP6.A6.9.1.Guidance.7.', '13_APP6.A6.9.2.Guidance.4.', '13_APP6.A6.9.3.Guidance.2.', '13_APP6.A6.9.1.Guidance.9.', '13_APP4.A4.3.22.Guidance.4.', '13_APP4.A4.3.23.Guidance', '13_APP4.A4.3.10', '13_APP6.A6.9.4.(1)']"
1755,['1_5.1.1'],"['1_2.Guidance.3.', '1_13.1.1', '1_4.4.1', '1_5.1.1.Guidance.2.', '27_2.5.11', '21_30)', '1_5.1.1', '1_12.4.1', '1_4.3.1', '1_12.3.1']"
1756,['11_5.2.3.(1)'],"['11_5.2.8', '11_5.2.3.(1)', '11_5.2.7', '11_5.2.5', '28_188)', '11_5.2.6', '11_5.2.4.(2)', '28_185)', '17_Part 6.Chapter 2.83.(2)', '11_7.2.3.(2)']"
1757,"['27_3.2.2', '7_3.3.41.(3).Guidance.9.']","['27_3.2.2', '27_3.1.8', '7_8.10.6', '36_D.4.2.', '27_7.7.2', '27_3.2.19', '1_4.4.1', '13_6.8.1.Guidance.3.', '7_5.2.9.(1)', '13_4.14.3']"
