,ref,prd
1610,['6_PART 5.12.3.3.(1)'],"['6_PART 5.12.3.1.Guidance.1', '6_PART 5.12.3.3.(1)', '6_PART 5.13.4.1', '6_PART 5.12.3.3.Guidance.1', '6_PART 5.13.2.1.Guidance.3', '6_PART 5.12.1.1.(2)', '6_PART 5.12.3.9.Guidance.1', '6_PART 5.12.3.7.(1)', '6_PART 5.12.3.2.(2)', '6_PART 5.16.3.9.Guidance.1']"
1611,['1_2.Guidance.27.'],"['19_85)', '6_APP 4.Guidance.Pricing_controls_by_the_Fund_Manager.9', '3_14.7.7.Guidance.1', '3_15.5.2.Guidance.1', '21_35)', '19_83)', '19_66)', '1_2.Guidance.9.', '6_PART 5.12.12.Guidance.5', '3_20.1.1.Guidance.2.']"
1612,"['29_3.7', '19_2)']","['33_2)', '19_99)', '19_138)', '19_98)', '19_106)', '19_2)', '19_100)', '19_135)', '19_24)', '19_179)']"
1613,"['11_10.2.6', '11_10.2.7']","['11_10.1.5', '11_10.2.7', '11_10.1.5.Guidance.1.', '12_6.5.1', '11_2.3.2', '6_PART 5.16.3.8', '2_2.3.4.(1)', '6_APP 4.Guidance.Property_Fund_Valuation_function.Valuation_function.39', '11_10.1.2.(2)', '7_6.6.1']"
1614,"['36_D.1.2.', '12_2.2.4.Guidance.2.']","['36_D.1.2.', '36_D.1.3.', '36_D.1.1.', '36_D.2.3.', '36_D.2.1.', '36_D.1.', '36_D.1.4.', '36_D.3.2.', '36_D.4.3.', '36_D.5.2.']"
1615,"['17_Part 1.Chapter 1.1.(3)', '3_2.6.2.(a)']","['11_6.1.1.(2)', '19_113)', '14_Part 2.4.(1)', '22_1.(11)', '27_2.5.1', '27_3.2.5', '27_10.7.3', '17_Part 1.Chapter 1.1.(3)', '21_31)', '33_114)']"
1616,"['6_PART 5.13A.2.1', '6_PART 5.13A.6.1']","['6_PART 5.13A.6.1', '13_APP10.A10.2.15.Guidance.19.', '13_APP4.A4.10.2.Guidance', '3_9.1.2', '17_Schedule 1.Chapter 2.115.', '13_4.9.3.Guidance.1.', '3_9.1.3.Guidance.1', '6_APP 4.Guidance.Pricing_controls_by_the_Fund_Manager.12', '13_4.13.5.(1)', '13_APP6.A6.7.10.(1)']"
1617,['34_64)'],"['34_64)', '34_63)', '34_31)', '34_67)', '34_82)', '34_69)', '34_65)', '34_25)', '34_29)', '34_73)']"
1618,"['36_D.3.2.', '36_D.3.5.']","['36_D.3.5.', '36_D.3.1.', '36_D.1.3.', '36_D.4.2.', '36_D.3.3.', '36_D.4.1.', '36_D.7.2.', '36_D.1.1.', '36_D.3.2.', '36_D.5.2.']"
1619,['3_13.1.2'],"['3_13.1.2', '7_3.3.42.(3).Guidance.4.', '11_APP 4.68.', '7_APP1.A1.2.Guidance.1.', '11_APP 4.72.', '7_2.2.12', '11_APP 4.74.', '7_3.3.42.(3).Guidance.5.', '7_APP1.A1.2.Guidance.6.', '11_APP 4.70.']"
1620,['34_36)'],"['34_36)', '34_33)', '34_48)', '34_25)', '34_46)', '34_34)', '34_26)', '34_7)', '27_2.6.2', '34_37)']"
1621,['11_2.7.4.Guidance.2.'],"['11_6.2.5.(1)', '11_2.7.4.(3)', '11_2.7.6.(2)', '11_6.2.5.(4)', '28_27)', '11_2.7.4.Guidance.3.', '11_6.2.6.(4)', '27_9.2', '11_6.2.6.(3)', '11_2.7.4.(2)']"
1622,"['10_4.7.27.Guidance.1.', '13_APP7.A7.2.3', '17_Part 12.Chapter 3.148.(10)']","['10_4.7.33', '10_4.7.27.Guidance.1.', '17_Part 12.Chapter 3.143.(2)', '10_4.7.21', '10_4.7.18', '17_Part 12.Chapter 1.133.(3)', '10_4.7.16', '10_4.6.4', '10_4.7.34', '10_4.12.6']"
1623,['13_APP7.A7.2.1'],"['13_APP7.A7.1.1.(1)', '13_APP7.A7.2.1', '13_3.5.4', '13_6.Introduction.Guidance.4.', '13_APP6.A6.7.3.(1)', '13_APP6.A6.5.5.Guidance', '13_APP11.A11.2.Guidance.5.', '13_APP11.A11.1.Guidance.9.', '13_3.5.6.Guidance.4.', '13_6.3.2.Guidance.2.']"
1624,['2_6.2.1'],"['12_APP2.A2.8.Guidance.1.', '12_4.6.2.Guidance.1.', '12_APP9.A9.2.1', '12_APP10.A10.2.6', '12_4.6.2.Guidance.2.', '12_APP9.A9.3.Guidance', '12_3.3.1', '12_APP9.A9.4.Guidance', '12_9.1.2', '12_7.4.4']"
1625,['1_11.1.1.Guidance.1.'],"['1_11.1.1.Guidance.1.', '1_11.2.1.Guidance.7.', '6_PART 5.11.1.1.(2)', '1_8.8.3', '1_8.3.2.Guidance on CDD.5.', '1_8.3.4.(1)', '1_8.6.2.Guidance.4.', '1_8.3.2.Guidance on CDD.7.', '1_9.1.2.Guidance.5.', '1_8.3.3.(1)']"
1626,['1_11.1.1.Guidance.2.'],"['1_11.1.1.Guidance.2.', '1_11.2.1.(2)', '1_2.Guidance.11.', '1_14.6.Guidance', '1_2.Guidance.26.', '1_14.4.1.Guidance.1.', '1_14.3.5.Guidance.2.', '17_Part 2.Chapter 4.15A.(1)', '1_14.2.3.Guidance.10.', '17_Part 2.Chapter 4.15A.(2)']"
1627,['31_11)'],"['31_11)', '30_11)', '31_10)', '31_14)', '31_15)', '11_12.2.2', '11_12.2.2.Guidance', '31_3)', '31_4)', '31_94)']"
1628,['6_PART 5.12.12.8.(1)'],"['6_PART 5.12.12.8.(1)', '6_APP 4.Guidance.Pricing_and_valuation_checks_by_oversight_arrangement.22', '6_PART 5.12.12.6.(2)', '6_PART 5.16.3.7', '6_PART 5.12.12.5.(3)', '6_PART 5.12.12.Guidance.5', '6_PART 5.12.12.4.(1)', '6_PART 5.12.12.7', '6_APP 1', '17_Part 11.Chapter 2.111.(1)']"
1629,['11_9.2.7'],"['11_9.2.7', '11_APP 4.50.', '14_Part 6.Chapter 1.45.(2)', '5_9.5.3', '14_Part 6.Chapter 1.42.(6)', '20_3.2.', '11_2.3.6.(3)', '14_Part 6.Chapter 1.44.', '23_2.3.3', '11_9.3.7']"
1630,['12_6.7.2.(2)'],"['12_6.7.1', '12_8.3.6.Guidance.1.', '13_8.3.5.Guidance.1.', '12_5.7.2.Guidance', '13_8.3', '12_8.3', '12_6.7.2.(3)', '13_APP11.A11.2.Guidance.10.', '12_6.7.2.(2)', '12_6.7.2.(5)']"
1631,['17_Schedule 1.Part 3 .89.(3)'],"['17_Schedule 1.Part 3 .89.(3)', '17_Schedule 1.Part 3 .89.(2)', '39_5.8', '11_4.16.2', '6_PART 2.2.1.16', '11_4.16', '11_4.14.1', '17_Schedule 1.Part 3 .89.(1)', '11_4.3.Guidance.1.', '11_4.14']"
1632,['18_3.2'],"['19_45)', '19_43)', '34_60)', '33_111)', '24_3.12', '21_30)', '19_165)', '19_166)', '1_2.Guidance.7.', '1_2.Guidance.14.']"
1633,['6_PART 5.13.3.16.(2)'],"['6_PART 5.13.3.16.(2)', '6_PART 5.13.3.2', '6_PART 5.13.3.2.Guidance.1', '6_PART 5.16.4.5', '6_PART 5.13.3.2.Guidance.2', '6_PART 8.20.2.7', '6_PART 5.13.3.9', '6_PART 5.16.4.4', '6_PART 8.20.3.7', '6_PART 8.20.2.7.Guidance.1']"
1634,['29_3.3'],"['30_138)', '29_3.3', '31_97)', '19_187)', '33_38)', '33_9)', '29_4.3', '33_40)', '19_125)', '19_168)']"
1635,['1_10.3.2.Guidance.1.'],"['1_10.3.2.Guidance.1.', '1_10.3.2.(1)', '1_10.3.2.Guidance.4.', '1_10.3.2.Guidance.3.', '1_10.3.2.(3)', '1_10.3.1', '1_10.3.2.Guidance.2.', '1_10.3.2.(2)', '23_1.2.2', '1_2.Guidance.22.']"
1636,"['33_79)', '33_80)']","['33_55)', '33_50)', '33_57)', '33_54)', '33_100)', '33_80)', '33_82)', '33_43)', '34_84)', '33_56)']"
1637,['1_8.8.3'],"['1_8.8.3', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_8.1.1.(3)', '1_8.3.1.(4)', '1_8.1.1.(4)', '1_5.1.1.Guidance.4.', '1_8.2.2.Guidance.3.', '1_8.7.1.Guidance.1.', '1_8.1.2.Guidance.1.', '1_8.2.1.(2)']"
1638,['13_3.5.6.Guidance.1.'],"['13_4.14.46', '13_4.14.8.Guidance.2.', '13_10.Introduction.Guidance.1.', '13_APP4.A4.6.Guidance.1.', '13_4.14.45.(1)', '13_4.14.32.(1)', '1_11.2.1.Guidance.3.', '13_3.5.8', '13_APP11.A11.3.Guidance.7.', '13_APP2.A2.5.Guidance.10.']"
1639,"['1_8.3.2.Guidance on CDD.9.', '1_11.2.1.Guidance.7.']","['1_8.3.2.Guidance on CDD.9.', '1_9.3.1B.Guidance.3.', '1_9.3.1B.Guidance.2.', '1_8.3.6.Guidance on verification of the identity of Beneficial Owners.3.', '1_11.2.1.Guidance.7.', '1_6.1.3.Guidance.7.', '1_9.3.1B.Guidance.1.', '1_8.3.2.Guidance on CDD.8.', '13_APP11.A11.3.Guidance.5.', '13_9.2.2.(3)']"
1640,['7_3.3.2.(3).Guidance.5.'],"['7_3.3.2.(3).Guidance.5.', '3_2.6.1.(a)', '3_2.1.3.Guidance.2', '37_2.1', '3_2.3', '3_2.2.2.Guidance.5', '13_APP3.A3.2.Guidance.4.', '37_3.11.c.', '3_2.6.4', '19_143)']"
1641,"['2_2.3.7.(2)', '2_2.3.7.(3)']","['2_2.3.4.(2)', '2_2.3.3.(3)', '12_6.6.10', '12_6.6.4', '2_2.3.7.(10)', '2_2.3.7.(4)', '13_2.3.4.(1)', '13_2.3.4.(2)', '2_2.3.7.(8)', '12_6.6.8']"
1642,['13_6.12.2.Guidance.1.'],"['13_6.12.2.Guidance.1.', '13_6.12A.4.Guidance.2.', '13_6.12A.4', '13_6.12.2', '13_6.12A.4.Guidance.4.', '7_5.2.8.(2).Guidance.2.', '18_3.4.(e)', '40_SECTION VIII.C.7.', '13_APP4.A4.1.Guidance.66.', '3_5.6.1']"
1643,['13_APP4.A4.3.19'],"['13_APP4.A4.3.10', '13_APP4.A4.3.18', '13_APP4.A4.3.19', '13_APP4.A4.3.5.(1)', '13_4.13.13.(2)', '13_APP4.A4.3.20', '13_APP4.A4.3.23', '13_APP4.A4.3.17.(1)', '13_APP4.A4.3.9', '13_APP4.A4.3.17.(3)']"
1644,['17_Part 14.180.'],"['17_Part 14.180.', '11_9.3.8.Guidance.2.', '5_9.3', '14_Part 5.Chapter 1.23.', '17_Part 14.187.', '37_4.13.a.', '13_APP7.A7.1.1.Guidance.3.', '10_6.1.3.Guidance', '6_PART 5.13.2.1.Guidance.3', '37_4.12.d.']"
1645,"['13_APP6.A6.1.Guidance.7.', '13_APP6.A6.1.Guidance.10.']","['13_APP6.A6.1.Guidance.7.', '13_9.2.6', '13_4.3.3.(2)', '13_4.3.3.(3)', '12_APP2.A2.3.Guidance.1.', '27_9.2', '13_APP6.A6.1.Guidance.17.', '13_9.2.1.Guidance.2.', '36_D.5.2.', '13_APP4.A4.1.Guidance.70.']"
1646,['13_4.12.2'],"['13_4.12.2', '13_4.12.1', '13_4.12.15', '13_4.12.1.Guidance', '13_4.12.12', '13_4.12.24', '13_APP4.A4.12.17', '13_4.11.5', '13_4.12.10', '13_APP4.A4.3.28']"
1647,['11_APP 4.69.'],"['11_APP 4.69.', '11_APP 4.70.', '11_APP 4.71.', '11_APP 4.72.', '11_APP 4.73.', '11_APP 4.68.', '11_APP 4.55.', '11_APP 4.74.', '11_APP 4.34.', '7_APP1.A1.2.Guidance.1.']"
1648,"['13_APP7.A7.3.2', '13_APP7.A7.3.4']","['13_6.11.2.(2)', '13_APP7.A7.3.1', '13_APP7.Guidance.1.', '13_6.11.4', '13_6.11.3', '13_APP6.A6.3.19.Guidance', '13_APP7.A7.3.4.Guidance.5.', '13_APP6.A6.7.3.Guidance', '13_APP6.A6.3.23', '10_4.2.1']"
1649,['11_12.9.1'],"['11_12.9.1', '31_29)', '31_51)', '11_12.7.1', '31_12)', '11_12.11.1', '31_30)', '31_60)', '31_62)', '31_65)']"
1650,['19_50)'],"['19_87)', '19_113)', '21_31)', '37_4.3', '33_114)', '19_57)', '19_116)', '19_61)', '3_20.5.2.Guidance.1.', '19_117)']"
1651,['34_108)'],"['19_177)', '34_108)', '33_126)', '33_121)', '17_Schedule 1.Part 2.Chapter 14.67.(6)', '19_172)', '19_122)', '38_2.3', '17_Schedule 1.Part 2.Chapter 1.6.', '19_124)']"
1652,"['34_65)', '34_85)', '34_67)']","['34_67)', '34_11)', '34_13)', '34_18)', '34_97)', '34_24)', '34_21)', '34_29)', '34_2)', '33_40)']"
1653,"['27_2.1.6', '6_PART 4.MARKETING_OF_DOMESTIC_AND_FOREIGN_FUNDS.Guidance.1']","['27_2.1.6', '3_2.1.3.Guidance.1', '35_1.2', '17_Schedule 1.Part 1.2.(3)', '3_2.1.3.Guidance.2', '7_9.3.4.Guidance', '35_3.1', '27_5.5.3', '26_4.2', '17_Schedule 1.Part 2.Chapter 17A.73A.(2)']"
1654,['40_SECTION VIII.E.2.'],"['40_SECTION VIII.E.2.', '40_SECTION VIII.C.9.', '40_SECTION IV.A.', '40_SECTION VI.A.1.', '40_SECTION V.C.2.', '40_SECTION III.C.2.', '40_SECTION V.C.1.', '1_1.3.1', '40_SECTION II.A.', '40_SECTION VI.A.2.']"
1655,['9_2.4.1'],"['27_2.7.2', '9_2.3.3.Guidance.(iii)', '9_2.2', '9_2.3.1', '9_2.3.4', '9_3.8.Guidance', '9_1.1.1.Guidance.(i)', '9_3.8.3.(a)', '9_2.4.1', '7_9.3.4.Guidance']"
1656,"['13_APP4.A4.1.Guidance.27.', '13_APP6.A6.7.6']","['13_APP6.A6.7.5', '13_APP6.A6.7.10', '12_9.4.10', '2_10.3.2.(9)', '32_2.4', '3_23.5.2', '13_APP6.A6.7.9', '12_9.4.11', '13_APP6.A6.7.8', '2_10.3.2.(10)']"
1657,['1_8.4.1.Guidance.4.'],"['1_8.4.1.Guidance.4.', '21_3)', '6_APP 4.Guidance.Property_Fund_Valuation_function.Valuation_function.39', '6_PART 5.13.4.9.Guidance.2', '12_APP10.A10.1.2', '2_2.3.1.(1)', '1_7.1.3.Guidance on high-risk customers .4.', '13_APP2.A2.1.2.Guidance', '12_10', '12_APP4.A4.4.1']"
1658,['19_55)'],"['19_55)', '19_54)', '21_24)', '10_2.8.10.Guidance', '1_8.3.6.Guidance on verification of the identity of Beneficial Owners.3.', '13_APP4.A4.1.Guidance.34.', '1_10.3.2.Guidance.1.', '34_101)', '1_4.1.1.(2)', '11_APP 7.A7.1.5.Guidance.4.']"
1659,['19_43)'],"['19_43)', '33_111)', '34_60)', '21_30)', '24_3.12', '19_45)', '16_Part 3.6.(2)', '36_A.1.', '16_Part 1.1.(1)', '19_153)']"
1660,['17_Part 2.Chapter 4.15B.(3)'],"['5_9.3', '14_Part 5.Chapter 1.23.', '17_Part 2.Chapter 4.15B.(3)', '17_Part 2.Chapter 4.15A.(5)', '1_1.1.1.(2)', '37_4.13.a.', '37_4.12.d.', '28_113)', '11_9.3.8.Guidance.2.', '6_PART 5.13.2.1.Guidance.3']"
1661,['17_Part 1.Chapter 1.1.(3)'],"['36_D.4.', '36_D.5.3.', '12_2.3.2', '36_D.1.4.', '36_D.7.', '10_4.7.15', '36_D.5.5.', '12_2.3.4', '36_D.7.1.', '7_3.3.4']"
1662,['13_APP6.A6.2.5.(2)'],"['13_APP6.A6.5.2.(2)', '13_APP2.A2.1.2.(1)', '13_APP6.A6.2.5', '13_APP6.A6.6.5.(3)', '13_APP6.A6.2.5.(2)', '13_3.11.5', '13_3.12.5', '13_3.10.12', '13_APP6.A6.7.2', '13_APP6.A6.7.9']"
1663,['13_6.2.2.Guidance.1.'],"['13_6.2.2.Guidance.1.', '27_3.1.7', '13_9.2.2.Guidance', '12_APP9.A9.1.1.Guidance.2.', '12_APP9.A9.4.Guidance', '12_APP9.A9.3.Guidance', '39_2.7', '30_68)', '13_APP6.A6.9.1.Guidance.4.', '13_4.13.14']"
1664,"['13_4.12.20', '4_3.10.2', '4_3.10.1', '13_1.1.1.Guidance.2.']","['18_1.2', '9_6.Guidance', '4_3.2.3', '9_6.1.1.(c).Guidance.(i)', '13_APP6.A6.7.5', '6_PART 5.12.12.2.(1)', '4_3.10.1', '37_2.6', '6_PART 4.9.5.1.Guidance.1', '4_3.10.2']"
1665,['10_6.4.5'],"['7_7.2.5', '10_6.4.5', '10_2.13.3.Guidance.4.', '13_APP11', '13_10', '12_8.3.1.(2)', '13_8.3.1.(2)', '21_24)', '10_6.4.6', '12_APP2.A2.6.Guidance.8.']"
1666,['18_3.2'],"['18_3.2', '4_3.2.3', '18_2.4.(b)', '18_3.1', '9_6.1.1.(c).Guidance.(i)', '18_1.2', '35_6.1', '32_1.4', '6_PART 4.9.5.1.Guidance.1', '18_2.4.(a)']"
1667,['19_130)'],"['33_108)', '19_106)', '34_98)', '27_11.1.2', '12_4.6.2.Guidance.1.', '20_1.1.', '34_67)', '20_3.2.', '1_9.3.2.(1)', '12_2.5.4.Guidance']"
1668,['22_2.2.(5)'],"['22_2.2.(5)', '22_2.2.(1)', '22_6.2.(7)', '22_2.2.(7)', '22_2.1.(2)', '22_5.6.(2)', '17_Schedule 1.Part 2.Chapter 15.69.', '22_5.7.(4)', '22_2.2.(14)', '7_APP1.A1.2.Guidance.1.']"
1669,"['14_Part 2.4.(1)', '14_Part 2.6.(1)']","['14_Part 6.Part 7.79.(2)', '14_Part 6.Part 7.81.(2)', '14_Part 6.Chapter 1.45.(1)', '17_Part 22.265.(1)', '14_Part 6.Part 7.80.', '14_Part 6.Part 7.82.', '14_Part 2.4.(1)', '14_Part 4.18.(2)', '16_Part 2.5.(7)', '15_Part 2.5.(7)']"
1670,"['34_23)', '34_95)']","['34_30)', '34_31)', '34_29)', '34_23)', '22_2.2.(3)', '34_13)', '22_2.2.(8)', '17_Part 8.92.(2)', '34_25)', '22_2.2.(14)']"
1671,"['1_4.3.1', '9_6.8.1.(b)', '7_8.10.1.(2).Guidance.3.']","['7_8.10.1.(2).Guidance.3.', '7_6.1.2.Guidance', '27_6.5.9', '7_6.1.2', '11_4.1.1.Guidance.2.', '10_6.2.2', '19_101)', '27_9.2', '27_6.4.2', '6_PART 4.8.1.Regulator_Notification.(3)']"
1672,['1_9.1.2.Guidance.3.'],"['1_9.1.2.Guidance.3.', '1_7.Guidance.1.', '1_2.Guidance.8.', '11_2.7.4.Guidance.1.', '1_7.Guidance.4.', '1_4.5.1.Guidance', '1_8.1.1.(3)', '1_8.1.2.Guidance.2.', '1_8.7.1.Guidance.3.', '13_APP6.A6.8.8']"
1673,['3_2.6.3.Guidance.1'],"['6_PART 8.20.2.4', '6_PART 8.20.3.4', '3_2.6.3.Guidance.1', '3_3.8.5', '7_2.2.2', '40_SECTION VII', '3_3.8.13', '7_2.4.2', '34_102)', '1_8.']"
1674,['22_2.1.(1)'],"['22_2.3.(1)', '22_2.3.(2)', '22_1.(12)', '22_1.(13)', '22_2.1.(1)', '22_1.(16)', '22_2.1.(2)', '33_33)', '22_5.7.(2)', '3_8.2.2']"
1675,['4_3.2.3'],"['4_3.2.3', '4_3.8', '13_1.1.1.(2)', '13_1.1.1.Guidance.2.', '18_3.3', '17_Schedule 1.Part 2.Chapter 2.16.', '4_3.8.2', '4_3.8.1', '37_3.4', '3_2.4.4.Undertakings.Guidance.4']"
1676,['13_APP4.A4.1.Guidance.74.'],"['13_APP4.A4.1.Guidance.74.', '3_3.5.5.(a)', '12_2.3.6.Guidance.1.', '7_3.3.1.(2).Guidance.1.', '7_5.5.1.Guidance.5.', '13_APP4.A4.1.Guidance.50.', '13_6.2.1.(3)', '13_5.2.1.(3)', '13_4.3.3.(1)', '13_7.4.1.(4)']"
1677,['19_143)'],"['19_159)', '19_157)', '19_161)', '19_158)', '19_139)', '19_142)', '17_Part 2.Chapter 1.5A.', '19_56)', '19_143)', '19_104)']"
1678,"['1_4.1.1.(2)', '1_4.1.1.(5)', '1_4.3.1']","['1_4.1.1.(2)', '19_54)', '10_2.7.2.Guidance', '19_55)', '13_APP4.A4.2.1.Guidance.1.', '11_9.4.1.Guidance.2.', '1_10.3.2.Guidance.1.', '11_APP 4.25.', '12_APP2.A2.4.Guidance.4.', '1_9.1.2.(3)']"
1679,['3_9.7.3.(a)'],"['3_9.7.3.(a)', '3_9.13', '3_9.12.5', '3_9.9.5.(c)', '3_9.7.3.(c)', '3_9.7.5', '3_9.5.7.Guidance.1', '3_9.8.6', '3_9.12.6', '3_9.15.1']"
1680,['11_12.3.1'],"['11_12.3.1', '11_11.3.1', '30_131)', '11_11.11.2', '31_34)', '30_33)', '11_12.14.2', '30_68)', '21_60)', '7_APP1.A1.1.Guidance.6.']"
1681,['14_Part 6.Chapter 2.55.(6)'],"['14_Part 6.Chapter 2.55.(9)', '14_Part 6.Chapter 2.55.(11)', '14_Part 6.Chapter 2.55.(14)', '14_Part 6.Chapter 2.55.(1)', '14_Part 6.Chapter 2.55.(2)', '14_Part 6.Chapter 2.55.(10)', '14_Part 6.Chapter 2.55.(3)', '14_Part 6.Chapter 2.55.(13)', '14_Part 6.Chapter 2.55.(15)', '14_Part 6.Chapter 2.55.']"
1682,['11_12.2.3'],"['7_APP2.A2.1.1', '11_12.2.1.Guidance', '11_12.2.3', '21_28)', '31_30)', '11_12.2.1', '31_87)', '31_88)', '14_Part 3.Chapter 4.16.(3)', '31_31)']"
1683,['28_120)'],"['31_99)', '30_140)', '11_12.2.1.Guidance', '11_11.2.1.Guidance', '11_12.2.4', '28_117)', '28_116)', '28_185)', '28_171)', '28_10)']"
1684,['9_5.1.1.Guidance.(ii)'],"['13_1.1.1.Guidance.4.', '13_1', '27_9.2', '3_2.2', '39_2.6', '7_APP2.A2.1.1.Guidance.1.', '13_4.10.Guidance', '3_9.14.5', '13_4.12.2', '13_4.10']"
1685,"['13_10.2.Guidance.2.', '13_APP4.A4.1.Guidance.9.']","['13_10.2.Guidance.2.', '13_10.3.2.(2)', '13_10.2.Guidance.4.', '13_10.5.Guidance.1.', '13_7.3.1.Guidance.2.', '13_APP11.A11.1.Guidance.10.', '13_10.4.2.(2)', '13_APP11.A11.2.Guidance.2.', '13_10.2.Guidance.3.', '13_APP11.A11.1.Guidance.7.']"
1686,['39_6.5'],"['39_5.4', '39_6.5', '39_5.5', '39_3.8', '39_4.4', '39_6.1', '39_3.7', '39_6.6', '39_6.3', '3_3.8.24.Guidance.1']"
1687,['17_Part 6.Chapter 2.74.(2)'],"['17_Part 6.Chapter 2.74.(2)', '14_Part 5.Chapter 1.22.(2)', '14_Part 6.Chapter 2.57.(2)', '17_Schedule 2.10.(1)', '14_Part 5.Chapter 3.33.(2)', '17_Part 6.Chapter 1.66.(2)', '17_Part 20.241.(5)', '14_Part 4.18.19.(9)', '14_Part 4.18.19.(4)', '17_Part 19.Chapter 2.231.(2)']"
1688,['3_21.3.5.Guidance.2.'],"['3_21.3.5.Guidance.2.', '7_5.2.14', '3_22.7.6', '17_Schedule 1.Part 2.Chapter 9.54.', '3_22.7', '17_Schedule 1.Part 2.Chapter 2.19.', '3_22.10.1.Guidance.1', '3_21.3.5.Guidance.1.', '34_6)', '17_Schedule 1.Part 2.Chapter 9.55.(1)']"
1689,['1_4.5.6'],"['1_4.5.6', '7_8.1.4', '1_9.1.2.Guidance.4.', '1_9.2.2.Guidance.2.', '37_4.3', '3_6.2.3', '19_113)', '3_2.7.4', '1_4.5.5', '1_6.1.3']"
1690,"['7_4.3.1.(1)', '7_5.2.3', '7_5.2.7']","['1_3.1.1', '1_11.2.1.(5)', '27_6.1.4', '27_4.4.3', '7_3.3.27', '7_4.3.1.(1)', '7_3.3.33.(1)', '17_Part 2.Chapter 4.15A.(2)', '3_3.8.22', '7_8.1.5.(2)']"
1691,"['33_106)', '33_107)']","['33_106)', '33_105)', '19_99)', '34_81)', '33_107)', '19_100)', '33_81)', '34_82)', '33_62)', '33_66)']"
1692,['13_11.2.2'],"['13_11.2.2', '3_9.9', '6_PART 5.13.5.1.(1)', '28_189)', '6_PART 5.15.1.2.(4)', '13_APP6.A6.9.1.Guidance.2.', '9_6.8.1.(a)', '10_3.6.9', '6_PART 5.12.14.1', '13_APP10.A10.2.15.Guidance.4.']"
1693,['1_6.1.3.Guidance.6.'],"['19_115)', '1_6.1.3.Guidance.6.', '27_9.2', '34_7)', '33_16)', '33_15)', '33_40)', '34_100)', '1_9.1.2.Guidance.4.', '33_35)']"
1694,['34_58)'],"['34_31)', '34_61)', '34_24)', '34_22)', '34_80)', '34_109)', '34_83)', '34_59)', '34_11)', '34_82)']"
1695,['11_4.10.1.(4)'],"['11_4.10.1.(4)', '11_4.10.1.(3)', '17_Part 6.Chapter 1.62.(5)', '11_4.12.1.(2)', '11_1.2.Guidance.3.', '11_4.1.1', '17_Part 6.Chapter 1.70.(1)', '11_4.10.1.(1)', '11_4.10.1.(2)', '11_4.5.1.(3)']"
1696,['13_4.13.7'],"['13_4.13.7', '13_APP4.A4.12.14', '13_4.9.17', '13_APP4.A4.11.26', '13_4.9.16', '13_4.9.19', '13_4.15.5', '13_4.9.20', '13_4.9.18', '13_4.9.6']"
1697,"['30_65)', '30_66)']","['30_58)', '30_64)', '11_11.7.6', '30_55)', '30_66)', '30_62)', '11_11.7.5', '30_21)', '30_56)', '11_11.7.3']"
1698,['13_3.2.2'],"['10_4.9.2', '13_APP10.A10.2.1.Guidance.Guidance.High Quality Liquid Assets (HQLA)', '13_3.Guidance.1.', '13_3.2.4', '3_3.8.5.Guidance.2', '13_3.21.4.Guidance', '19_46)', '13_APP10.A10.2.3', '13_3.21.1.Guidance.3.', '6_PART 8.20.2.2.Guidance.1']"
1699,"['6_PART 5.13A.2.1', '32_1.4']","['32_1.4', '32_3.2', '39_3.8', '39_3.15', '32_4.1', '6_PART 2.4.1.9.Guidance.2', '6_PART 8.20.4.1', '6_PART 5.13A.4.1', '6_PART 8.20.4.5', '32_1.3']"
1700,['9_3.3.1.Guidance.(e)'],"['9_3.3.1.Guidance.(e)', '9_3.3.1.Guidance.(d)', '9_3.3.1.Guidance.(c)', '9_7.3.1', '9_3.4.1', '9_3.5.1', '9_3.5.7', '9_6.2.6.(a)', '9_3.5.2', '9_6.1.4']"
1701,['1_8.3.3.(2)'],"['1_8.3.3.(2)', '1_8.3.3.(3)', '1_8.3.6.(2)', '17_Part 13.156.(3)', '7_3.3.17', '40_SECTION VIII.D.6.', '17_Part 10.105.(2)', '7_8.8.4.(1)', '7_3.3.2.(1)', '7_APP1.A1.1.Guidance.3.']"
1702,['13_4.8.3'],"['13_4.10.Guidance', '19_113)', '34_34)', '20_3.1.', '27_8.4.4', '11_6.2.17.(3)', '28_117)', '39_5.1', '3_23.10.3', '13_4.10']"
1703,['11_8.1.2.(3)'],"['3_19.8.1', '15_Part 3.7.(3)', '7_7.2.12', '16_Part 3.7.(3)', '11_8.1.2.(3)', '13_APP4.A4.1.Guidance.68.', '15_Part 3.7.(2)', '6_PART 5.12.10.1.(2)', '3_20.5.1', '16_Part 3.7.(2)']"
1704,['13_4.13.9.Guidance.2.'],"['13_4.13.9.Guidance.2.', '13_4.13.9.(2)', '13_APP4.A4.1.Guidance.64.', '9_5.4.7.(d).Guidance.(xiv)', '9_5.4.7.(d).Guidance.(xii)', '27_9.2', '6_PART 5.11.1.6', '14_Part 6.Chapter 3.60.(1)', '13_4.13.9.Guidance.1.', '3_19.2.Guidance.1']"
